Fund Holdings as of,"09/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NOVN","NOVARTIS AG","Health Care","Equity","714’117’546","12.51","714’117’545.90","5’745’113","124.30","Switzerland","SIX Swiss Exchange","CHF"
"ROP","ROCHE PS PAR AG","Health Care","Equity","708’887’680","12.42","708’887’679.50","2’112’929","335.50","Switzerland","SIX Swiss Exchange","CHF"
"NESN","NESTLE SA","Consumer Staples","Equity","645’552’611","11.31","645’552’611.31","7’748’801","83.31","Switzerland","SIX Swiss Exchange","CHF"
"ABBN","ABB LTD","Industrials","Equity","396’709’541","6.95","396’709’541.44","4’684’808","84.68","Switzerland","SIX Swiss Exchange","CHF"
"UBSG","UBS GROUP AG","Financials","Equity","386’391’665","6.77","386’391’664.56","9’226’162","41.88","Switzerland","SIX Swiss Exchange","CHF"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","297’492’488","5.21","297’492’488.00","1’616’807","184.00","Switzerland","SIX Swiss Exchange","CHF"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","282’713’675","4.95","282’713’674.80","461’498","612.60","Switzerland","SIX Swiss Exchange","CHF"
"LONN","LONZA GROUP AG","Health Care","Equity","123’064’928","2.16","123’064’928.40","211’234","582.60","Switzerland","SIX Swiss Exchange","CHF"
"SREN","SWISS RE AG","Financials","Equity","117’312’626","2.06","117’312’625.80","894’492","131.15","Switzerland","SIX Swiss Exchange","CHF"
"HOLN","HOLCIM LTD AG","Materials","Equity","117’059’024","2.05","117’059’023.84","1’607’512","72.82","Switzerland","SIX Swiss Exchange","CHF"
"GALD","GALDERMA GROUP N AG","Health Care","Equity","99’835’280","1.75","99’835’280.00","572’450","174.40","Switzerland","SIX Swiss Exchange","CHF"
"SDZ","SANDOZ GROUP AG","Health Care","Equity","90’790’385","1.59","90’790’385.00","1’323’475","68.60","Switzerland","SIX Swiss Exchange","CHF"
"ALC","ALCON AG","Health Care","Equity","81’226’605","1.42","81’226’605.32","1’503’083","54.04","Switzerland","SIX Swiss Exchange","CHF"
"SLHN","SWISS LIFE HOLDING AG","Financials","Equity","79’611’270","1.39","79’611’270.00","85’825","927.60","Switzerland","SIX Swiss Exchange","CHF"
"GIVN","GIVAUDAN SA","Materials","Equity","78’780’598","1.38","78’780’598.00","23’042","3’419.00","Switzerland","SIX Swiss Exchange","CHF"
"SIKA","SIKA AG","Materials","Equity","77’789’845","1.36","77’789’844.55","482’717","161.15","Switzerland","SIX Swiss Exchange","CHF"
"AMRZ","AMRIZE AG","Materials","Equity","63’749’547","1.12","63’749’547.45","1’591’749","40.05","United States","SIX Swiss Exchange","CHF"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","55’488’050","0.97","55’488’049.73","55’488’050","100.00","Switzerland","-","CHF"
"VACN","VAT GROUP AG","Industrials","Equity","54’732’350","0.96","54’732’350.00","80’750","677.80","Switzerland","SIX Swiss Exchange","CHF"
"GEBN","GEBERIT AG","Industrials","Equity","52’609’511","0.92","52’609’510.80","101’838","516.60","Switzerland","SIX Swiss Exchange","CHF"
"HBAN","HELVETIA BALOISE HOLDING N AG","Financials","Equity","49’428’775","0.87","49’428’775.00","231’625","213.40","Switzerland","SIX Swiss Exchange","CHF"
"SGSN","SGS SA","Industrials","Equity","48’549’013","0.85","48’549’013.00","515’930","94.10","Switzerland","SIX Swiss Exchange","CHF"
"DSFIR","DSM FIRMENICH AG","Materials","Equity","47’324’859","0.83","47’324’859.30","607’898","77.85","Netherlands","SIX Swiss Exchange","CHF"
"SCMN","SWISSCOM AG","Communication","Equity","46’770’217","0.82","46’770’217.00","76’547","611.00","Switzerland","SIX Swiss Exchange","CHF"
"PGHN","PARTNERS GROUP HOLDING AG","Financials","Equity","45’940’708","0.80","45’940’708.00","68’020","675.40","Switzerland","SIX Swiss Exchange","CHF"
"BAER","JULIUS BAER GRUPPE AG","Financials","Equity","44’303’702","0.78","44’303’702.28","618’594","71.62","Switzerland","SIX Swiss Exchange","CHF"
"STMN","STRAUMANN HOLDING AG","Health Care","Equity","36’758’021","0.64","36’758’021.40","354’636","103.65","Switzerland","SIX Swiss Exchange","CHF"
"LOGN","LOGITECH INTERNATIONAL SA","Information Technology","Equity","35’225’542","0.62","35’225’541.70","434’347","81.10","Switzerland","SIX Swiss Exchange","CHF"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrials","Equity","34’095’351","0.60","34’095’350.80","166’807","204.40","Switzerland","SIX Swiss Exchange","CHF"
"LISN","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Consumer Staples","Equity","32’531’400","0.57","32’531’400.00","341","95’400.00","Switzerland","SIX Swiss Exchange","CHF"
"SCHP","SCHINDLER HOLDING PAR AG","Industrials","Equity","31’569’404","0.55","31’569’404.40","120’402","262.20","Switzerland","SIX Swiss Exchange","CHF"
"SPSN","SWISS PRIME SITE AG","Real Estate","Equity","31’355’531","0.55","31’355’531.10","241’011","130.10","Switzerland","SIX Swiss Exchange","CHF"
"RO","ROCHE HOLDING AG","Health Care","Equity","30’553’964","0.54","30’553’963.60","89’759","340.40","Switzerland","SIX Swiss Exchange","CHF"
"SOON","SONOVA HOLDING AG","Health Care","Equity","29’901’134","0.52","29’901’133.80","147’879","202.20","Switzerland","SIX Swiss Exchange","CHF"
"LISP","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Consumer Staples","Equity","27’829’410","0.49","27’829’410.00","2’978","9’345.00","Switzerland","SIX Swiss Exchange","CHF"
"BEAN","BELIMO N AG","Industrials","Equity","24’220’625","0.42","24’220’625.00","29’810","812.50","Switzerland","SIX Swiss Exchange","CHF"
"ACLN","ACCELLERON N AG","Industrials","Equity","21’992’081","0.39","21’992’081.10","285’241","77.10","Switzerland","SIX Swiss Exchange","CHF"
"PSPN","PSP SWISS PROPERTY AG","Real Estate","Equity","19’828’582","0.35","19’828’582.00","137’890","143.80","Switzerland","SIX Swiss Exchange","CHF"
"UHR","THE SWATCH GROUP AG","Consumer Discretionary","Equity","17’643’703","0.31","17’643’703.20","86’872","203.10","Switzerland","SIX Swiss Exchange","CHF"
"SCHN","SCHINDLER HOLDING AG","Industrials","Equity","16’074’136","0.28","16’074’136.00","63’284","254.00","Switzerland","SIX Swiss Exchange","CHF"
"AVOL","AVOLTA AG","Consumer Discretionary","Equity","15’381’535","0.27","15’381’534.60","294’102","52.30","Switzerland","SIX Swiss Exchange","CHF"
"SQN","SWISSQUOTE GROUP HOLDING SA","Financials","Equity","15’069’308","0.26","15’069’307.80","361’895","41.64","Switzerland","SIX Swiss Exchange","CHF"
"EMSN","EMS-CHEMIE HOLDING AG","Materials","Equity","13’928’891","0.24","13’928’890.50","20’349","684.50","Switzerland","SIX Swiss Exchange","CHF"
"FHZN","FLUGHAFEN ZUERICH AG","Industrials","Equity","13’814’548","0.24","13’814’548.00","56’617","244.00","Switzerland","SIX Swiss Exchange","CHF"
"GALE","GALENICA AG","Health Care","Equity","13’012’937","0.23","13’012’937.00","149’660","86.95","Switzerland","SIX Swiss Exchange","CHF"
"BARN","BARRY CALLEBAUT AG","Consumer Staples","Equity","12’072’995","0.21","12’072’995.00","10’637","1’135.00","Switzerland","SIX Swiss Exchange","CHF"
"ALLN","ALLREAL HOLDING AG","Real Estate","Equity","10’773’477","0.19","10’773’477.00","50’226","214.50","Switzerland","SIX Swiss Exchange","CHF"
"TEMN","TEMENOS AG","Information Technology","Equity","10’650’927","0.19","10’650’926.70","152’811","69.70","Switzerland","SIX Swiss Exchange","CHF"
"BCVN","BC VAUD N","Financials","Equity","10’381’134","0.18","10’381’134.40","84’952","122.20","Switzerland","SIX Swiss Exchange","CHF"
"GF","GEORG FISCHER AG","Industrials","Equity","10’197’133","0.18","10’197’133.10","232’705","43.82","Switzerland","SIX Swiss Exchange","CHF"
"SIGN","SIG GROUP N AG","Materials","Equity","10’057’466","0.18","10’057’466.22","753’933","13.34","Switzerland","SIX Swiss Exchange","CHF"
"SFZN","SIEGFRIED HOLDING AG","Health Care","Equity","9’438’206","0.17","9’438’206.40","130’272","72.45","Switzerland","SIX Swiss Exchange","CHF"
"HUBN","HUBER & SUHNER AG","Industrials","Equity","9’397’623","0.16","9’397’623.20","48’292","194.60","Switzerland","SIX Swiss Exchange","CHF"
"COTN","COMET HOLDING AG","Information Technology","Equity","9’110’795","0.16","9’110’795.40","23’373","389.80","Switzerland","SIX Swiss Exchange","CHF"
"ADEN","ADECCO GROUP AG","Industrials","Equity","8’703’776","0.15","8’703’776.14","523’378","16.63","Switzerland","SIX Swiss Exchange","CHF"
"BION","BB BIOTECH AG","Health Care","Equity","8’620’328","0.15","8’620’327.50","167’385","51.50","Switzerland","SIX Swiss Exchange","CHF"
"IFCN","INFICON HOLDING AG","Information Technology","Equity","8’617’392","0.15","8’617’392.00","51’912","166.00","Switzerland","SIX Swiss Exchange","CHF"
"CMBN","CEMBRA MONEY BANK AG","Financials","Equity","8’421’361","0.15","8’421’360.50","90’455","93.10","Switzerland","SIX Swiss Exchange","CHF"
"SUNN","SUNRISE N CLASS A LTD","Communication","Equity","8’029’378","0.14","8’029’377.84","201’036","39.94","Switzerland","SIX Swiss Exchange","CHF"
"BKW","BKW N AG","Utilities","Equity","7’905’954","0.14","7’905’954.10","59’939","131.90","Switzerland","SIX Swiss Exchange","CHF"
"MOBN","MOBIMO HOLDING AG","Real Estate","Equity","7’796’858","0.14","7’796’857.50","22’437","347.50","Switzerland","SIX Swiss Exchange","CHF"
"VATN","VALIANT HOLDING AG","Financials","Equity","7’714’476","0.14","7’714’476.00","47’916","161.00","Switzerland","SIX Swiss Exchange","CHF"
"SUN","SULZER AG LTD","Industrials","Equity","7’355’975","0.13","7’355’974.50","52’731","139.50","Switzerland","SIX Swiss Exchange","CHF"
"VZN","VZ HOLDING AG","Financials","Equity","7’326’026","0.13","7’326’025.60","46’544","157.40","Switzerland","SIX Swiss Exchange","CHF"
"SFSN","SFS GROUP AG","Industrials","Equity","7’201’501","0.13","7’201’500.80","54’392","132.40","Switzerland","SIX Swiss Exchange","CHF"
"DKSH","DKSH HOLDING AG","Industrials","Equity","6’963’467","0.12","6’963’466.90","107’627","64.70","Switzerland","SIX Swiss Exchange","CHF"
"BANB","BACHEM HOLDING AG","Health Care","Equity","6’920’644","0.12","6’920’643.60","93’396","74.10","Switzerland","SIX Swiss Exchange","CHF"
"TECN","TECAN GROUP AG","Health Care","Equity","6’866’475","0.12","6’866’475.00","39’237","175.00","Switzerland","SIX Swiss Exchange","CHF"
"EFGN","EFG INTERNATIONAL AG","Financials","Equity","6’824’860","0.12","6’824’860.00","416’150","16.40","Switzerland","SIX Swiss Exchange","CHF"
"EMMN","EMMI AG","Consumer Staples","Equity","6’757’680","0.12","6’757’680.00","7’610","888.00","Switzerland","SIX Swiss Exchange","CHF"
"UHRN","THE SWATCH GROUP AG","Consumer Discretionary","Equity","6’638’463","0.12","6’638’462.70","164’522","40.35","Switzerland","SIX Swiss Exchange","CHF"
"VONN","VONTOBEL HOLDING AG","Financials","Equity","6’527’400","0.11","6’527’400.10","85’103","76.70","Switzerland","SIX Swiss Exchange","CHF"
"LUKN","LUZERNER KTBANK AG","Financials","Equity","6’432’346","0.11","6’432’345.60","58’264","110.40","Switzerland","SIX Swiss Exchange","CHF"
"BUCN","BUCHER INDUSTRIES AG","Industrials","Equity","6’067’813","0.11","6’067’812.50","19’417","312.50","Switzerland","SIX Swiss Exchange","CHF"
"AMS","AMS-OSRAM AG","Information Technology","Equity","5’809’919","0.10","5’809’918.50","303’390","19.15","Switzerland","SIX Swiss Exchange","CHF"
"SGKN","ST.GALLER KANTONALBANK AG","Financials","Equity","5’763’954","0.10","5’763’954.00","8’854","651.00","Switzerland","SIX Swiss Exchange","CHF"
