Fund Holdings as of,"01/Sept/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"GALD","GALDERMA GROUP N AG","Health Care","Equity","135’450’090.30","11.34","135’450’090.30","810’593.00","167.10","Switzerland","SIX Swiss Exchange","CHF"
"SDZ","SANDOZ GROUP AG","Health Care","Equity","129’082’979.76","10.81","129’082’979.76","1’874’027.00","68.88","Switzerland","SIX Swiss Exchange","CHF"
"HBAN","HELVETIA BALOISE HOLDING N AG","Financials","Equity","69’745’146.00","5.84","69’745’146.00","327’442.00","213.00","Switzerland","SIX Swiss Exchange","CHF"
"SGSN","SGS SA","Industrials","Equity","67’696’345.08","5.67","67’696’345.08","730’431.00","92.68","Switzerland","SIX Swiss Exchange","CHF"
"VACN","VAT GROUP AG","Industrials","Equity","66’881’295.60","5.60","66’881’295.60","114’562.00","583.80","Switzerland","SIX Swiss Exchange","CHF"
"BAER","JULIUS BAER GRUPPE AG","Financials","Equity","65’610’925.08","5.49","65’610’925.08","877’386.00","74.78","Switzerland","SIX Swiss Exchange","CHF"
"SOON","SONOVA HOLDING AG","Health Care","Equity","49’061’844.00","4.11","49’061’844.00","209’666.00","234.00","Switzerland","SIX Swiss Exchange","CHF"
"STMN","STRAUMANN HOLDING AG","Health Care","Equity","48’972’304.62","4.10","48’972’304.62","502’899.00","97.38","Switzerland","SIX Swiss Exchange","CHF"
"RO","ROCHE HOLDING AG","Health Care","Equity","45’383’331.60","3.80","45’383’331.60","127’053.00","357.20","Switzerland","SIX Swiss Exchange","CHF"
"SCHP","SCHINDLER HOLDING PAR AG","Industrials","Equity","44’654’494.00","3.74","44’654’494.00","170’437.00","262.00","Switzerland","SIX Swiss Exchange","CHF"
"LISN","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Consumer Staples","Equity","43’626’700.00","3.65","43’626’700.00","481.00","90’700.00","Switzerland","SIX Swiss Exchange","CHF"
"SPSN","SWISS PRIME SITE AG","Real Estate","Equity","42’579’059.60","3.56","42’579’059.60","341’726.00","124.60","Switzerland","SIX Swiss Exchange","CHF"
"LISP","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Consumer Staples","Equity","36’681’680.00","3.07","36’681’680.00","4’226.00","8’680.00","Switzerland","SIX Swiss Exchange","CHF"
"BEAN","BELIMO N AG","Industrials","Equity","35’166’444.00","2.94","35’166’444.00","42’166.00","834.00","Switzerland","SIX Swiss Exchange","CHF"
"ACLN","ACCELLERON N AG","Industrials","Equity","28’995’153.55","2.43","28’995’153.55","402’431.00","72.05","Switzerland","SIX Swiss Exchange","CHF"
"PSPN","PSP SWISS PROPERTY AG","Real Estate","Equity","28’437’572.80","2.38","28’437’572.80","195’313.00","145.60","Switzerland","SIX Swiss Exchange","CHF"
"EMSN","EMS-CHEMIE HOLDING AG","Materials","Equity","22’994’419.00","1.92","22’994’419.00","28’942.00","794.50","Switzerland","SIX Swiss Exchange","CHF"
"UHR","THE SWATCH GROUP AG","Consumer Discretionary","Equity","22’911’294.00","1.92","22’911’294.00","123’179.00","186.00","Switzerland","SIX Swiss Exchange","CHF"
"SCHN","SCHINDLER HOLDING AG","Industrials","Equity","22’604’985.00","1.89","22’604’985.00","88’647.00","255.00","Switzerland","SIX Swiss Exchange","CHF"
"SQN","SWISSQUOTE GROUP HOLDING SA","Financials","Equity","21’316’890.12","1.78","21’316’890.12","511’933.00","41.64","Switzerland","SIX Swiss Exchange","CHF"
"AVOL","AVOLTA AG","Consumer Discretionary","Equity","18’975’376.16","1.59","18’975’376.16","416’858.00","45.52","Switzerland","SIX Swiss Exchange","CHF"
"GF","GEORG FISCHER AG","Industrials","Equity","18’186’942.60","1.52","18’186’942.60","331’274.00","54.90","Switzerland","SIX Swiss Exchange","CHF"
"GALE","GALENICA AG","Health Care","Equity","17’728’886.40","1.48","17’728’886.40","213’344.00","83.10","Switzerland","SIX Swiss Exchange","CHF"
"ADEN","ADECCO GROUP AG","Industrials","Equity","17’697’945.60","1.48","17’697’945.60","741’120.00","23.88","Switzerland","SIX Swiss Exchange","CHF"
"BARN","BARRY CALLEBAUT AG","Consumer Staples","Equity","16’977’528.00","1.42","16’977’528.00","15’051.00","1’128.00","Switzerland","SIX Swiss Exchange","CHF"
"FHZN","FLUGHAFEN ZUERICH AG","Industrials","Equity","16’624’275.60","1.39","16’624’275.60","80’466.00","206.60","Switzerland","SIX Swiss Exchange","CHF"
"TEMN","TEMENOS AG","Information Technology","Equity","15’607’991.70","1.31","15’607’991.70","216’477.00","72.10","Switzerland","SIX Swiss Exchange","CHF"
"SIGN","SIG GROUP N AG","Materials","Equity","14’653’220.68","1.23","14’653’220.68","1’068’019.00","13.72","Switzerland","SIX Swiss Exchange","CHF"
"SUNN","SUNRISE N CLASS A LTD","Communication","Equity","11’929’244.10","1.00","11’929’244.10","286’073.00","41.70","Switzerland","SIX Swiss Exchange","CHF"
"CLN","CLARIANT AG","Materials","Equity","9’526’140.00","0.80","9’526’140.00","897’000.00","10.62","Switzerland","SIX Swiss Exchange","CHF"
