iSh Cor SPI (CH) CHF D (BlackRock Asset Management CH/CH0237935652/CHF)		
        10.09.2026
        Time;Price;Volume
17:36:51.00;164.78;1030
17:26:54.71;164.96;35
17:22:32.65;165.04;2
16:45:45.27;164.96;82
16:45:41.61;164.98;40
16:30:40.13;165.2;16
16:30:39.98;165.2;134
16:28:48.93;165.26;177
16:28:17.08;165.3;25
16:27:38.07;165.36;3
16:24:36.85;165.3;36
16:20:48.42;165.26;200
16:11:01.97;164.92;4
16:09:22.04;164.9;25
16:07:05.51;164.82;50
16:06:15.19;164.76;30
16:06:15.19;164.82;4
16:03:09.71;164.94;17
16:00:48.79;164.94;2978
15:50:16.02;165;89
15:50:15.91;165;100
15:42:33.59;165.22;13
15:42:13.99;165.2;5
15:35:02.41;165.32;4
15:32:38.27;165.2;1
15:28:32.14;165.26;6
15:24:08.81;165.24;4
15:22:49.53;165.18;324
15:19:49.56;165.26;15
15:06:25.89;165.24;20
15:01:46.78;165.14;406
15:01:46.25;165.14;200
14:52:37.47;165.08;2
14:40:32.51;164.98;25
14:34:10.27;164.9;6
14:33:01.27;165;1500
14:33:00.95;165.02;9
14:33:00.91;165;1598
14:32:53.10;165.02;150
14:32:34.51;165.06;30
14:31:04.94;165.1;40
14:29:33.51;165.2;60
14:26:41.85;165.32;9
14:21:55.30;165.24;1545
14:21:55.30;165.28;55
14:18:20.35;165.4;10
14:18:18.78;165.42;100
14:11:33.06;165.46;15
14:11:12.61;165.48;20
14:09:15.96;165.54;20
14:07:32.48;165.5;6
14:07:32.46;165.52;40
14:07:09.20;165.54;1000
14:07:03.12;165.52;960
14:06:22.56;165.54;8
14:05:51.35;165.52;624
14:04:31.57;165.5;93
14:01:30.61;165.56;30
14:00:12.15;165.6;15
13:59:42.75;165.66;6
13:55:39.18;165.76;7
13:53:28.46;165.8;5
13:47:44.04;165.9;3
13:26:10.79;165.8;15
13:25:25.19;165.84;5
13:20:33.40;165.82;30
12:59:11.11;165.88;3
12:54:02.68;165.82;100
12:51:56.13;165.84;24
12:24:12.49;165.52;20
12:07:41.44;165.54;5
12:04:33.49;165.54;18
11:43:51.54;165.1;123
11:43:51.54;165.14;2
11:41:15.32;165.12;7
11:38:40.08;165.2;10
11:35:18.51;165.28;6
11:34:48.30;165.3;60
11:32:17.46;165.24;6
11:27:26.26;165.28;10
11:24:17.03;165.3;23
11:19:31.60;165.32;5
11:18:51.74;165.3;1
11:13:47.80;165.2;6
11:10:42.75;165.14;8
11:02:34.33;165.02;25
11:02:34.33;165;2167
11:02:34.09;165;2167
11:02:33.18;165;2167
11:02:32.14;165.02;6
11:02:07.84;165.04;70
10:59:39.82;165;2700
10:57:56.10;165.02;4
10:57:49.47;165.02;150
10:57:15.97;165.04;95
10:54:39.97;165.12;208
10:53:46.11;165.08;2
10:49:28.39;165.1;5
10:49:28.38;165.1;4
10:49:27.66;165.1;225
10:49:23.13;165.12;15
10:46:29.31;165.14;100
10:42:12.86;165.22;100
10:41:02.48;165.2;10
10:40:51.65;165.22;37
10:38:31.52;165.22;30
10:38:17.08;165.24;4
10:37:55.30;165.26;120
10:32:45.44;165.42;55
10:31:41.78;165.4;4
10:26:59.95;165.46;75
10:24:25.41;165.44;4
10:19:33.85;165.48;14
10:17:58.75;165.48;90
10:17:23.41;165.48;4
10:16:48.09;165.5;137
10:15:53.69;165.54;60
10:13:07.22;165.54;50
10:12:53.52;165.52;30
10:12:39.73;165.54;60
10:11:44.22;165.56;5
10:11:00.51;165.6;50
10:10:36.53;165.6;40
10:06:53.43;165.58;238
10:06:27.57;165.56;20
10:06:15.06;165.58;4
10:04:10.43;165.64;57
10:02:25.00;165.7;150
09:56:14.08;165.7;260
09:52:44.65;165.76;15
09:52:25.08;165.76;59
09:49:04.15;165.72;250
09:48:30.10;165.78;4
09:47:59.89;165.84;4
09:46:16.82;165.78;65
09:46:03.21;165.74;1
09:46:03.21;165.76;12
09:44:53.23;165.78;30
09:39:23.87;165.86;6
09:32:43.26;165.7;300
09:32:31.93;165.72;30
09:26:39.54;165.78;20
09:22:23.45;165.9;5
09:19:26.59;165.94;6
09:18:55.73;165.96;66
09:18:26.65;165.88;100
09:13:50.70;165.9;1
09:05:01.33;165.92;276
09:05:00.58;165.92;100
09:05:00.42;165.92;1424
09:00:57.38;165.88;80
09:00:23.57;165.82;324
09:00:15.02;165.82;270
09:00:15.00;165.82;819
