Fund Holdings as of,"01/Sept/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NOVN","NOVARTIS AG","Health Care","Equity","440’183’537.76","16.84","440’183’537.76","3’361’206.00","130.96","Switzerland","SIX Swiss Exchange","CHF"
"ROP","ROCHE PS PAR AG","Health Care","Equity","429’571’507.50","16.43","429’571’507.50","1’236’177.00","347.50","Switzerland","SIX Swiss Exchange","CHF"
"NESN","NESTLE SA","Consumer Staples","Equity","355’921’944.60","13.61","355’921’944.60","4’533’460.00","78.51","Switzerland","SIX Swiss Exchange","CHF"
"UBSG","UBS GROUP AG","Financials","Equity","238’254’919.40","9.11","238’254’919.40","5’397’710.00","44.14","Switzerland","SIX Swiss Exchange","CHF"
"ABBN","ABB LTD","Industrials","Equity","213’455’606.76","8.16","213’455’606.76","2’740’827.00","77.88","Switzerland","SIX Swiss Exchange","CHF"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","178’537’681.25","6.83","178’537’681.25","945’895.00","188.75","Switzerland","SIX Swiss Exchange","CHF"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","160’916’424.00","6.15","160’916’424.00","269’994.00","596.00","Switzerland","SIX Swiss Exchange","CHF"
"SREN","SWISS RE AG","Financials","Equity","74’330’371.20","2.84","74’330’371.20","524’932.00","141.60","Switzerland","SIX Swiss Exchange","CHF"
"LONN","LONZA GROUP AG","Health Care","Equity","71’399’323.80","2.73","71’399’323.80","123’571.00","577.80","Switzerland","SIX Swiss Exchange","CHF"
"HOLN","HOLCIM LTD AG","Materials","Equity","67’670’680.28","2.59","67’670’680.28","940’393.00","71.96","Switzerland","SIX Swiss Exchange","CHF"
"SIKA","SIKA AG","Materials","Equity","53’523’423.05","2.05","53’523’423.05","282’371.00","189.55","Switzerland","SIX Swiss Exchange","CHF"
"ALC","ALCON AG","Health Care","Equity","51’260’100.10","1.96","51’260’100.10","879’247.00","58.30","Switzerland","SIX Swiss Exchange","CHF"
"SLHN","SWISS LIFE HOLDING AG","Financials","Equity","45’828’949.60","1.75","45’828’949.60","50’207.00","912.80","Switzerland","SIX Swiss Exchange","CHF"
"GIVN","GIVAUDAN SA","Materials","Equity","43’877’400.00","1.68","43’877’400.00","13’480.00","3’255.00","Switzerland","SIX Swiss Exchange","CHF"
"GEBN","GEBERIT AG","Industrials","Equity","33’783’408.00","1.29","33’783’408.00","59’688.00","566.00","Switzerland","SIX Swiss Exchange","CHF"
"AMRZ","AMRIZE AG","Materials","Equity","32’703’641.16","1.25","32’703’641.16","930’932.00","35.13","United States","SIX Swiss Exchange","CHF"
"SCMN","SWISSCOM AG","Communication","Equity","28’054’897.50","1.07","28’054’897.50","44’709.00","627.50","Switzerland","SIX Swiss Exchange","CHF"
"PGHN","PARTNERS GROUP HOLDING AG","Financials","Equity","27’075’264.00","1.04","27’075’264.00","39’840.00","679.60","Switzerland","SIX Swiss Exchange","CHF"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","25’579’967.14","0.98","25’579’967.14","25’579’967.00","100.00","Switzerland","-","CHF"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrials","Equity","20’833’690.80","0.80","20’833’690.80","97’719.00","213.20","Switzerland","SIX Swiss Exchange","CHF"
"LOGN","LOGITECH INTERNATIONAL","Information Technology","Equity","20’140’022.04","0.77","20’140’022.04","254’486.00","79.14","Switzerland","SIX Swiss Exchange","CHF"
"F-GSI","CASH COLLATERAL CHF F-GSI","Cash and/or Derivatives","Cash Collateral and Margins","1’566’000.00","0.06","1’566’000.00","1’566’000.00","100.00","Switzerland","-","CHF"
"USD","USD CASH","Cash and/or Derivatives","Cash","82’804.93","0.00","82’804.93","101’958.00","81.21","United States","-","USD"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","70’265.11","0.00","70’265.11","63’905.00","109.95","United Kingdom","-","GBP"
"SMU6","SWISS MKT IX SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","27’168’100.00","190.00","14’299.00","Switzerland","Eurex Deutschland","CHF"
 
