Fund Holdings as of,"09/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"PRY","PRYSMIAN","Industrials","Equity","18’609’444","3.45","18’609’443.65","136’283","136.55","Italy","Borsa Italiana","EUR"
"REP","REPSOL SA","Energy","Equity","12’425’169","2.30","12’425’169.48","534’876","23.23","Spain","Bolsa De Madrid","EUR"
"ABN","ABN AMRO BANK NV","Financials","Equity","11’427’226","2.12","11’427’225.75","298’751","38.25","Netherlands","Euronext Amsterdam","EUR"
"A5G","AIB GROUP PLC","Financials","Equity","10’697’045","1.98","10’697’045.28","1’029’552","10.39","Ireland","Irish Stock Exchange - All Market","EUR"
"BPE","BPER BANCA","Financials","Equity","10’552’807","1.95","10’552’807.36","755’607","13.97","Italy","Borsa Italiana","EUR"
"AER","AERCAP HOLDINGS NV","Industrials","Equity","10’321’825","1.91","10’321’825.49","78’133","132.11","Netherlands","New York Stock Exchange Inc.","USD"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrials","Equity","10’282’718","1.90","10’282’717.80","85’263","120.60","Spain","Bolsa De Madrid","EUR"
"LDO","LEONARDO FINMECCANICA SPA","Industrials","Equity","10’220’420","1.89","10’220’419.89","195’831","52.19","Italy","Borsa Italiana","EUR"
"NN","NN GROUP NV","Financials","Equity","9’727’907","1.80","9’727’907.28","127’262","76.44","Netherlands","Euronext Amsterdam","EUR"
"PUB","PUBLICIS GROUPE SA","Communication","Equity","9’465’875","1.75","9’465’874.84","110’531","85.64","France","Nyse Euronext - Euronext Paris","EUR"
"MTX","MTU AERO ENGINES HOLDING AG","Industrials","Equity","9’431’910","1.75","9’431’910.00","26’055","362.00","Germany","Xetra","EUR"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","Information Technology","Equity","8’780’663","1.63","8’780’662.80","34’461","254.80","Netherlands","Euronext Amsterdam","EUR"
"FRE","FRESENIUS SE AND CO KGAA","Health Care","Equity","8’628’164","1.60","8’628’163.64","204’362","42.22","Germany","Xetra","EUR"
"BAMI","BANCO BPM","Financials","Equity","8’506’608","1.58","8’506’607.50","549’700","15.48","Italy","Borsa Italiana","EUR"
"BIRG","BANK OF IRELAND GROUP PLC","Financials","Equity","8’129’777","1.51","8’129’776.81","459’699","17.68","Ireland","Irish Stock Exchange - All Market","EUR"
"KPN","KONINKLIJKE KPN NV","Communication","Equity","7’820’390","1.45","7’820’390.49","1’850’542","4.23","Netherlands","Euronext Amsterdam","EUR"
"SAB","BANCO DE SABADELL","Financials","Equity","7’346’306","1.36","7’346’306.11","2’311’613","3.18","Spain","Bolsa De Madrid","EUR"
"WRT1V","WARTSILA","Industrials","Equity","7’153’438","1.32","7’153’438.04","236’243","30.28","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Utilities","Equity","6’948’861","1.29","6’948’861.03","681’595","10.20","Italy","Borsa Italiana","EUR"
"FBK","FINECOBANK BANCA FINECO","Financials","Equity","6’710’313","1.24","6’710’313.48","296’654","22.62","Italy","Borsa Italiana","EUR"
"DSFIR","DSM FIRMENICH AG","Materials","Equity","6’673’548","1.24","6’673’548.00","79’447","84.00","Netherlands","Euronext Amsterdam","EUR"
"TIT","TELECOM ITALIA","Communication","Equity","6’644’887","1.23","6’644’887.06","827’817","8.03","Italy","Borsa Italiana","EUR"
"WKL","WOLTERS KLUWER NV","Industrials","Equity","6’587’305","1.22","6’587’305.20","109’935","59.92","Netherlands","Euronext Amsterdam","EUR"
"KRZ","KERRY GROUP PLC","Consumer Staples","Equity","6’338’606","1.17","6’338’606.40","77’112","82.20","Ireland","Irish Stock Exchange - All Market","EUR"
"PST","POSTE ITALIANE","Financials","Equity","6’330’368","1.17","6’330’368.20","220’340","28.73","Italy","Borsa Italiana","EUR"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Utilities","Equity","6’260’935","1.16","6’260’935.13","1’410’756","4.44","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"BG","BAWAG GROUP AG","Financials","Equity","6’220’746","1.15","6’220’746.00","35’265","176.40","Austria","Wiener Boerse Ag","EUR"
"SRG","SNAM","Utilities","Equity","6’048’162","1.12","6’048’162.26","978’034","6.18","Italy","Borsa Italiana","EUR"
"RI","PERNOD RICARD SA","Consumer Staples","Equity","6’032’714","1.12","6’032’714.40","94’854","63.60","France","Nyse Euronext - Euronext Paris","EUR"
"NESTE","NESTE","Energy","Equity","5’975’685","1.11","5’975’685.00","205’350","29.10","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"KRX","KINGSPAN GROUP PLC","Industrials","Equity","5’857’346","1.08","5’857’346.25","74’379","78.75","Ireland","Irish Stock Exchange - All Market","EUR"
"UPM","UPM-KYMMENE","Materials","Equity","5’848’069","1.08","5’848’069.05","255’933","22.85","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"CLNX","CELLNEX TELECOM","Communication","Equity","5’725’332","1.06","5’725’331.71","231’701","24.71","Spain","Bolsa De Madrid","EUR"
"SY1","SYMRISE AG","Materials","Equity","5’711’892","1.06","5’711’892.48","64’512","88.54","Germany","Xetra","EUR"
"ENX","EURONEXT NV","Financials","Equity","5’545’658","1.03","5’545’658.40","37’496","147.90","France","Nyse Euronext - Euronext Paris","EUR"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Real Estate","Equity","5’340’514","0.99","5’340’513.60","52’128","102.45","France","Nyse Euronext - Euronext Paris","EUR"
"MONC","MONCLER","Consumer Discretionary","Equity","5’295’147","0.98","5’295’147.20","106’757","49.60","Italy","Borsa Italiana","EUR"
"ASRNL","ASR NEDERLAND NV","Financials","Equity","5’162’902","0.96","5’162’901.92","75’658","68.24","Netherlands","Euronext Amsterdam","EUR"
"AGS","AGEAS SA","Financials","Equity","5’115’053","0.95","5’115’053.00","72’043","71.00","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"EN","BOUYGUES SA","Industrials","Equity","5’030’804","0.93","5’030’804.20","107’726","46.70","France","Nyse Euronext - Euronext Paris","EUR"
"METSO","METSO CORPORATION","Industrials","Equity","4’684’141","0.87","4’684’140.80","310’208","15.10","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"CA","CARREFOUR SA","Consumer Staples","Equity","4’643’077","0.86","4’643’076.74","284’241","16.34","France","Nyse Euronext - Euronext Paris","EUR"
"BKT","BANKINTER SA","Financials","Equity","4’600’395","0.85","4’600’394.98","303’857","15.14","Spain","Bolsa De Madrid","EUR"
"AGN","AEGON LTD","Financials","Equity","4’532’644","0.84","4’532’643.50","588’655","7.70","Netherlands","Euronext Amsterdam","EUR"
"UNI","UNIPOL ASSICURAZIONI SPA","Financials","Equity","4’528’546","0.84","4’528’545.66","173’574","26.09","Italy","Borsa Italiana","EUR"
"AC","ACCOR SA","Consumer Discretionary","Equity","4’413’024","0.82","4’413’024.06","90’691","48.66","France","Nyse Euronext - Euronext Paris","EUR"
"AKZA","AKZO NOBEL NV","Materials","Equity","4’281’872","0.79","4’281’871.90","74’989","57.10","Netherlands","Euronext Amsterdam","EUR"
"FORTUM","FORTUM","Utilities","Equity","4’247’389","0.79","4’247’388.73","216’593","19.61","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"G1A","GEA GROUP AG","Industrials","Equity","4’230’599","0.78","4’230’598.75","70’805","59.75","Germany","Xetra","EUR"
"OMV","OMV AG","Energy","Equity","4’200’151","0.78","4’200’151.00","71’189","59.00","Austria","Wiener Boerse Ag","EUR"
"BVI","BUREAU VERITAS SA","Industrials","Equity","4’138’090","0.77","4’138’090.40","153’490","26.96","France","Nyse Euronext - Euronext Paris","EUR"
"BCP","BANCO COMERCIAL PORTUGUES SA","Financials","Equity","4’087’355","0.76","4’087’355.44","3’937’722","1.04","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"RXL","REXEL SA","Industrials","Equity","4’071’835","0.75","4’071’834.62","107’323","37.94","France","Nyse Euronext - Euronext Paris","EUR"
"FGR","EIFFAGE SA","Industrials","Equity","4’012’406","0.74","4’012’406.30","33’133","121.10","France","Nyse Euronext - Euronext Paris","EUR"
"HEIO","HEINEKEN HOLDING NV","Consumer Staples","Equity","3’966’454","0.73","3’966’454.20","58’074","68.30","Netherlands","Euronext Amsterdam","EUR"
"GALP","GALP ENERGIA SGPS SA CLASS B","Energy","Equity","3’860’475","0.71","3’860’474.80","196’963","19.60","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
