Fund Holdings as of,"11/Aug/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"PRY","PRYSMIAN","Industrials","Equity","10’393’156.65","1.70","10’393’156.65","81’483.00","127.55","Italy","Borsa Italiana","EUR"
"SDZ","SANDOZ GROUP AG","Health Care","Equity","9’289’252.02","1.52","9’289’252.02","120’635.00","77.00","Switzerland","SIX Swiss Exchange","CHF"
"REP","REPSOL","Energy","Equity","8’451’652.32","1.39","8’451’652.32","319’896.00","26.42","Spain","Bolsa De Madrid","EUR"
"SLHN","SWISS LIFE HOLDING AG","Financials","Equity","8’082’465.30","1.33","8’082’465.30","8’043.00","1’004.90","Switzerland","SIX Swiss Exchange","CHF"
"ABN","ABN AMRO BANK NV","Financials","Equity","7’130’568.00","1.17","7’130’568.00","179’160.00","39.80","Netherlands","Euronext Amsterdam","EUR"
"AV.","AVIVA PLC","Financials","Equity","7’123’053.12","1.17","7’123’053.12","873’225.00","8.16","United Kingdom","London Stock Exchange","GBP"
"LDO","LEONARDO FINMECCANICA SPA","Industrials","Equity","6’870’213.80","1.13","6’870’213.80","116’642.00","58.90","Italy","Borsa Italiana","EUR"
"BPE","BPER BANCA","Financials","Equity","6’604’218.14","1.08","6’604’218.14","455’589.00","14.50","Italy","Borsa Italiana","EUR"
"PUB","PUBLICIS GROUPE SA","Communication","Equity","6’557’553.60","1.08","6’557’553.60","66’372.00","98.80","France","Nyse Euronext - Euronext Paris","EUR"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","6’544’565.04","1.07","6’544’565.04","276’419.00","23.68","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"A5G","AIB GROUP PLC","Financials","Equity","6’453’682.95","1.06","6’453’682.95","601’742.00","10.73","Ireland","Irish Stock Exchange - All Market","EUR"
"NXT","NEXT PLC","Consumer Discretionary","Equity","6’039’843.63","0.99","6’039’843.63","33’114.00","182.40","United Kingdom","London Stock Exchange","GBP"
